Item,Description,Cost per pcs (USD),Quantity,Total Cost,Link
110mm aluminium extrusion,,0.528,2,1.056,https://shopee.com.my/product/197714890/7444516288?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnYyt2ZjQ3OXFNTWE2UVVkTW5rV3l6RnZpWFlxQzBpZGNaMWRmWktGbDBJQ2hzZTBKYTJ5RGh1d3dnNTVrM0NnSFpXQlhVQ2pvSWNXNHZkajZtcDN3RGdQUEJVT1JJTEk1ai9RZElzK2ZHNmN3PT0&gad_source=1&gad_campaignid=23405199063&gbraid=0AAAAADPpYTIS8bI5DAWKqAVkDfWi9pB5b&gclid=Cj0KCQiA2bTNBhDjARIsAK89wlGGVdiZTyhdR2eWrZQNYeScCDUMprDpoI96M8PPfo8njZFanYe2Jb0aAvOaEALw_wcB
150mm aluminium extrusion,,0.72,1,0.72,https://shopee.com.my/product/197714890/7444516288?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnYyt2ZjQ3OXFNTWE2UVVkTW5rV3l6RnZpWFlxQzBpZGNaMWRmWktGbDBJQ2hzZTBKYTJ5RGh1d3dnNTVrM0NnSFpXQlhVQ2pvSWNXNHZkajZtcDN3RGdQUEJVT1JJTEk1ai9RZElzK2ZHNmN3PT0&gad_source=1&gad_campaignid=23405199063&gbraid=0AAAAADPpYTIS8bI5DAWKqAVkDfWi9pB5b&gclid=Cj0KCQiA2bTNBhDjARIsAK89wlGGVdiZTyhdR2eWrZQNYeScCDUMprDpoI96M8PPfo8njZFanYe2Jb0aAvOaEALw_wcB
100mm aluminium extrusion,,0.48,2,0.96,https://shopee.com.my/product/197714890/7444516288?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnYyt2ZjQ3OXFNTWE2UVVkTW5rV3l6RnZpWFlxQzBpZGNaMWRmWktGbDBJQ2hzZTBKYTJ5RGh1d3dnNTVrM0NnSFpXQlhVQ2pvSWNXNHZkajZtcDN3RGdQUEJVT1JJTEk1ai9RZElzK2ZHNmN3PT0&gad_source=1&gad_campaignid=23405199063&gbraid=0AAAAADPpYTIS8bI5DAWKqAVkDfWi9pB5b&gclid=Cj0KCQiA2bTNBhDjARIsAK89wlGGVdiZTyhdR2eWrZQNYeScCDUMprDpoI96M8PPfo8njZFanYe2Jb0aAvOaEALw_wcB
30mm aluminium extrusion,,0.144,2,0.288,https://shopee.com.my/product/197714890/7444516288?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnYyt2ZjQ3OXFNTWE2UVVkTW5rV3l6RnZpWFlxQzBpZGNaMWRmWktGbDBJQ2hzZTBKYTJ5RGh1d3dnNTVrM0NnSFpXQlhVQ2pvSWNXNHZkajZtcDN3RGdQUEJVT1JJTEk1ai9RZElzK2ZHNmN3PT0&gad_source=1&gad_campaignid=23405199063&gbraid=0AAAAADPpYTIS8bI5DAWKqAVkDfWi9pB5b&gclid=Cj0KCQiA2bTNBhDjARIsAK89wlGGVdiZTyhdR2eWrZQNYeScCDUMprDpoI96M8PPfo8njZFanYe2Jb0aAvOaEALw_wcB
230mm aluminium extrusion,,1.104,2,2.208,https://shopee.com.my/product/197714890/7444516288?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnYyt2ZjQ3OXFNTWE2UVVkTW5rV3l6RnZpWFlxQzBpZGNaMWRmWktGbDBJQ2hzZTBKYTJ5RGh1d3dnNTVrM0NnSFpXQlhVQ2pvSWNXNHZkajZtcDN3RGdQUEJVT1JJTEk1ai9RZElzK2ZHNmN3PT0&gad_source=1&gad_campaignid=23405199063&gbraid=0AAAAADPpYTIS8bI5DAWKqAVkDfWi9pB5b&gclid=Cj0KCQiA2bTNBhDjARIsAK89wlGGVdiZTyhdR2eWrZQNYeScCDUMprDpoI96M8PPfo8njZFanYe2Jb0aAvOaEALw_wcB
160mm aluminium extrusion,,0.768,1,0.768,https://shopee.com.my/product/197714890/7444516288?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnYyt2ZjQ3OXFNTWE2UVVkTW5rV3l6RnZpWFlxQzBpZGNaMWRmWktGbDBJQ2hzZTBKYTJ5RGh1d3dnNTVrM0NnSFpXQlhVQ2pvSWNXNHZkajZtcDN3RGdQUEJVT1JJTEk1ai9RZElzK2ZHNmN3PT0&gad_source=1&gad_campaignid=23405199063&gbraid=0AAAAADPpYTIS8bI5DAWKqAVkDfWi9pB5b&gclid=Cj0KCQiA2bTNBhDjARIsAK89wlGGVdiZTyhdR2eWrZQNYeScCDUMprDpoI96M8PPfo8njZFanYe2Jb0aAvOaEALw_wcB
Shipping,,1.32,1,1.32,
Filament,100g,,1,0,
Material Block,for machining the load cell mount,11.4,1,11.4,https://shopee.com.my/product/70248337/18194271855?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnZWxmOE0rYUlSeTJlVFNUSkhqalE2QTVyTFFRMmlvUzhLczc5eW9kZmVtaTl4K1NSaUNZdHVZbjNSQ29BOXdqcERqZ1JzRVlQeHdscjBvaysrcEIvNkJBYkVNZXFKK0tibGtmd1hvRlhHVjZ3PT0&gad_source=1&gad_campaignid=23298095039&gbraid=0AAAAADPpYTLBzF3JJeRuc9Hop-p0l1NO5&gclid=Cj0KCQiA2bTNBhDjARIsAK89wlHlK8qNi8am7CVV-83m13bP7ZVP1R376xQAnMZR2tYdtKT5nhkEU_UaAmeIEALw_wcB
Li-Ion Battery,for powering esp32,2.74,1,2.74,https://my.cytron.io/p-3.7v-2000mah-18650-li-ion-battery?r=1&gad_source=1&gad_campaignid=17507688159&gbraid=0AAAAADh9ZNA_CEMzpxP3JgLBnFgi_F_Q3&gclid=Cj0KCQiA2bTNBhDjARIsAK89wlFTLhlmu7p1rGUuhwbqSpMusEAl2lXnajw0DWJnbGTMPkRv1iTveYMaAuSzEALw_wcB
Linear Rail,"MGN9H 200mm (300mm is shortest I could find, official Hiwin will have the correct size but would've costed 3 times more)",15.37,1,15.37,https://shopee.com.my/product/298182316/15324344938?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVEdTU3BlMW9zMXB6bGYrZ0J1VEdQc3RjKzNpMlowdWY0V0s0NGZnVWhLa1paUm44aUF0T3hkNGMyNFg1RzhkNFBJMGdzUnhzTVdHWUhZcjd3L0FsTlNGdjF4SHJkYVFjejl0ajFIaVhseGxOMXBldjRSaFc5K3psUEp6THMxd1h3PT0&gad_source=1&gad_campaignid=1412843204&gbraid=0AAAAADPpYTLlncdH3A8iRKnqg7UV94pf9&gclid=Cj0KCQiA2bTNBhDjARIsAK89wlG_rXRqBc6XhXjuuxWBsHqsHAjaUkrdY6IcXz4qbChv-67V6ViaStUaAq1tEALw_wcB
IRLZ44N,Ignition control,2.26,2,4.52,https://shopee.com.my/Original-IRLZ44N-IRLZ44-IRLZ44NPBF-IRLZ44A-N-Channel-Logic-Level-MOSFET-55V-49A-i.135112285.3002642939?extraParams=%7B%22display_model_id%22%3A222262260327%2C%22model_selection_logic%22%3A3%7D&sp_atk=476ea44a-b79d-4f73-bea6-360deb25d34d&xptdk=476ea44a-b79d-4f73-bea6-360deb25d34d
9V battery connector,For ignition,0.1,1,0.1,https://my.cytron.io/p-9v-battery-snap?r=1&gad_source=1&gad_campaignid=17507688159&gbraid=0AAAAADh9ZNA_CEMzpxP3JgLBnFgi_F_Q3&gclid=Cj0KCQiA2bTNBhDjARIsAK89wlGbH0F8zc9GeHlLlZI7PTAY-arnv2KiqSAnExO5ebr0qvnUCvuUC-caAn7hEALw_wcB

9V battery,For ignition,3.27,1,3.27,https://shopee.com.my/product/107050481/2297177678?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkY0tSanlKZU1BU2Y2RTJzOS9neUtnZVpzMDVNNzJaMlRXb0NMVUpTRXJ2alliUUJSZmVFcy9pQ29xOXQ0MzlxNlkrTjBuT1M4VWh6L3ErcUFGWWk2Z3BTUVU2UFhHc0FoM1hpZ1dqRFEzcm05RkUyRDBBaGxhVnd0L3pNMndKY2t3PT0&gad_source=1&gad_campaignid=23307254782&gbraid=0AAAAADPpYTIDAPKsGndtamyy7OsxbsPHR&gclid=Cj0KCQiA2bTNBhDjARIsAK89wlGa0RLb0wsJwis63p09p3MRVvi_ultSXRt3VRSioj4a5kTi4GMH-VQaArVUEALw_wcB
BMS,Battery charge and discharge,0.69,1,0.69,https://shopee.com.my/product/513412485/24919193465?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVEdTU3BlMW9zMXB6bGYrZ0J1VEdQczVMMWxjbE1lVVBWZEY4QUVGNEdjNmpQZ213T3FhTHVJUzhxWGNvZVNiMFQ5QzFGUzc4T3o4YWRqWDRRS0daYkU4MkVsVGx6Y2ZyN0F3TWpaaW9TM3dBbEtlYXVjb3I4SUovU2VZSzZGUWFnPT0&gad_source=1&gad_campaignid=17286178279&gbraid=0AAAAADPpYTIHDzlzhKNySM1OUwtMeK4vh&gclid=Cj0KCQiA2bTNBhDjARIsAK89wlHGbu9lomSYzz0Du8Ue9v6ScEEWMzk7v3OO0qwE7YB7UkEmNO57R4EaApIcEALw_wcB
